product_label,area_under_curve,cycle_duration,mean_current,variance_current,max_peak,time_to_first_peak,rms_current
single small,179.07316082169044,74.004,2.408838992732685,5.5948161943323145,6.665617266613516,13.205,3.375991926418328
single small,90.25752297455178,93.405,0.9632661240347213,2.2620053196040404,6.123957569551873,2.406,1.7860254604335615
single small,133.69540810804162,67.28,1.986394860154095,5.556636429735016,6.499663165433225,13.074,3.0825964656733165
single large,213.64643031903478,104.421,2.064847976843037,6.381737238718178,6.641840425816994,41.998,3.2627188671705936
single large,234.05138215593476,81.289,2.872294070056761,6.870716000679583,6.797533145866268,12.595,3.888545901177305
single large,222.74275582848404,84.904,2.627777622942373,6.718563922535324,6.97040823071593,10.694,3.6910403896695563
double large,264.04766041913143,92.616,2.8572778700679105,7.172483946901817,6.619074089270907,26.511,3.916187019752968
double large,364.03125994073315,96.101,3.7862936352904186,6.534163137426294,6.706782427075158,12.206,4.568389500695735
double large,341.41650328144317,94.0,3.6217739286717325,6.709776126235428,6.984661680285785,11.716,4.452754486454615
single small,137.43412055725466,64.315,2.1430100009322715,5.410160088836509,6.804936326132356,13.21,3.1626969429479397
single small,124.93026247130199,67.405,1.8686993851748437,5.006877879142161,6.922274951757475,12.105,2.9152899120490567
single large,211.95564597507573,149.001,1.4213631331639174,5.270544304519991,6.800218526817574,83.616,2.7001513773930417
single large,223.86131684587826,78.739,2.8294330500458766,6.72022662725759,6.719780085236124,12.646,3.8374363853944864
double large,350.62200572625994,123.21,2.8540162593404856,7.666370985907854,6.711302641792839,33.694,3.9764028712503103
double large,322.32736176126855,115.899,2.7839804034240414,7.464544446249131,6.965680071744723,26.9,3.9006526803726347
